mbid,listeners_lastfm
17e137fb-59e5-4fd7-af48-afc34995396c,1028201
e57f0cac-4f56-473c-8d7e-d93f753fd586,1026025
2437980f-513a-44fc-80f1-b90d9d7fcf8f,1025244
cba77ba2-862d-4cee-a8f6-d3f9daf7211c,1023506
70f0e309-5418-49b6-a130-666e2f76eecd,1019092
bf600e2b-dc2d-4839-a1be-6ebef4087cd0,1018360
28503ab7-8bf2-4666-a7bd-2644bfc7cb1d,1016271
3cb25fb2-5547-4b05-adec-1a5e37830d46,1015439
1a120ec5-35b3-4f3e-aa49-7201550d9feb,1007619
d6e65033-b56a-49df-8744-6fc3ffd75edd,1007451
9011971a-df29-4b57-8889-2e5e9a645cbe,1004968
c2e36518-9c3b-4dcb-82ad-a3fc7fe99c67,1003256
7e8571b1-7c5a-4739-bc51-73d422ee9d74,1000461
1f5ff245-2837-4d4a-a609-e93e544478c3,998703
3f5be744-e867-42fb-8913-5fd69e4099b5,998512
298909e4-ebcb-47b8-95e9-cc53b087fc65,997802
62d364d2-550b-420e-b918-b3bd1e4a2efc,995261
eaf6a7ca-105d-4a94-ba02-8c3e4040319a,995074
6c8fd0be-d961-454c-aee0-4366a6dbc993,993603
794c6bf2-3241-416f-9b8f-24e2d84a1c4b,993490
e3434cc7-d348-491a-9dc8-325af3d9086d,991935
ea5883b7-68ce-48b3-b115-61746ea53b8c,989340
39b22a9e-59dd-412b-ac3c-0725c807c72b,987854
24762087-34ce-4f65-b743-7d8402cf30dd,987693
37d0a847-32d3-480f-bd1e-101f50a3d332,987180
9072df14-b61e-42e2-b4f4-6bbb7fdb5586,983903
0f7534a6-dc5f-46ca-a2e0-13d214cdd52b,983348
e8414012-4a1c-4ad4-be5e-fc55294e28cc,981985
e4bc69e2-a064-4f93-ada1-f7f209cc1cc3,980214
0eedfc95-e79a-4fd9-832a-cd816a0b3fda,979874
6bd5655c-b7fe-48ee-8925-c2d2d8798618,975724
77b29df2-056e-409e-a1b2-5e2bbfe421c4,974807
668fd73c-bf54-4310-a139-305517f05311,974685
1a60d6dd-9d3e-40fc-a66d-3184f9ee0d61,973543
4b2d6a23-034d-4a29-9bb9-d2462796da4e,971302
27613b78-1b9d-4ec3-9db5-fa0743465fdd,970797
f0e820ab-f31a-400d-9c5e-8be1c8c38726,969387
1c009a08-74d1-4682-bc56-8bfbe9e66b62,966028
5bae7081-64ef-4473-825a-38d310deb14c,965982
0f96c38b-8e21-4571-afe0-cb11196a8acd,961280
5334edc0-5faf-4ca5-b1df-000de3e1f752,960809
bfaf9b70-d1fd-4d3e-b730-3e67e6f8f9bb,958858
107d0c22-d051-4d98-8206-4e14de02132a,955182
dcb03ce3-67a5-4eb3-b2d1-2a12d93a38f3,953664
9e839dc3-55f3-4492-ad0e-a1a2e84275e2,953197
ffb390b8-8df4-4b72-97d1-7b2fc008a452,950435
603ba565-3967-4be1-931e-9cb945394e86,949966
